w scaling repl L S1 S2 S3 S4 S5 D1 D2 D3 D4 D5 D6 D7 D8 S b bm bprod bpred compratio co prank
135 0 17.5 44 0.152173913043478 0.0093167701863354 0 0.496894409937888 0.341614906832298 0 0 0 0 0 0 0 0 25 0.6528371417764 0.02611348567106 0.18258402061052 0.012507352198058 1.45454545454545 0.0704 11
131 0 17.5 16 0.126436781609195 0.0229885057471264 0 0.551724137931034 0.298850574712644 0 0 0 0 0 0 0 0 12 0.3226007524214 0.026883396035126 0.18403393139656 0.012596983729534 1.84615384615385 0.111111111111111 12
159 0 17.5 19 0.158878504672897 0.0186915887850467 0 0.495327102803738 0.327102803738318 0 0 0 0 0 0 0 0 12 0.32660701198008 0.02721725099834 0.18854170586604 0.012551391464918 1.51428571428571 0.131944444444444 13
130 0 17.5 18 0.153153153153153 0 0 0.522522522522523 0.324324324324324 0 0 0 0 0 0 0 0 12 0.32757667821328 0.027298056517776 0.19109665958066 0.012407274421148 1.61111111111111 0.125 14
127 0 17.5 35 0.091254752851711 0.0114068441064639 0 0.604562737642586 0.29277566539924 0 0 0 0 0 0 0 0 22 0.6537189133792 0.029714496062686 0.19012189250412 0.013673756418538 2.06493506493506 0.0723140495867769 15
128 0 17.5 31 0.0883720930232558 0 0 0.534883720930233 0.376744186046512 0 0 0 0 0 0 0 0 22 0.65998872139102 0.029999487335946 0.19662305393778 0.013337130675772 1.41975308641975 0.0640495867768595 16
119 0 17.5 20 0.0746268656716418 0.0447761194029851 0 0.522388059701492 0.358208955223881 0 0 0 0 0 0 0 0 11 0.3320414091478 0.030185582649802 0.19908437399844 0.013295703514948 1.45833333333333 0.165289256198347 17
151 0 17.5 36 0.0804597701149425 0.0306513409961686 0 0.620689655172414 0.268199233716475 0 0 0 0 0 0 0 0 21 0.64017820283216 0.030484676325338 0.18409177402344 0.014315508146598 2.31428571428571 0.0816326530612245 18
101 0 17.5 35 0.14453125 0.02734375 0 0.50390625 0.32421875 0 0 0 0 0 0 0 0 22 0.67191039329068 0.030541381513216 0.18841387593068 0.014754132071464 1.55421686746988 0.0723140495867769 19
143 0 17.5 62 0.115497076023392 0.0570175438596491 0 0.274853801169591 0.552631578947368 0 0 0 0 0 0 0 0 21 0.64379589021774 0.030656947153228 0.18271137686094 0.01465121771029 0.497354497354497 0.140589569160998 20
140 0 17.5 28 0.0585585585585586 0.0045045045045045 0 0.657657657657658 0.279279279279279 0 0 0 0 0 0 0 0 19 0.63063582999678 0.033191359473514 0.17625671328272 0.01636014137831 2.35483870967742 0.0775623268698061 21
175 0 17.5 16 0.0693069306930693 0.0396039603960396 0 0.495049504950495 0.396039603960396 0 0 0 0 0 0 0 0 9 0.32872482210628 0.03652498023402 0.192363542533 0.017045159946648 1.25 0.197530864197531 22
57 0 16.1818181818182 11 0.1 0 0 0.516666666666667 0.383333333333333 0 0 0 0 0 0 0 0 9 0.330392839637782 0.0367103155153109 0.196672334109218 0.0167150631910945 1.34782608695652 0.135802469135802 23
121 0 17.5 50 0.201101928374656 0.0110192837465565 0 0.418732782369146 0.369146005509642 0 0 0 0 0 0 0 0 27 1.0201719891084 0.037784147744748 0.19109301264194 0.018620539632596 1.13432835820896 0.0685871056241427 24
90 0 16.8846153846154 32 0.135021097046413 0.029535864978903 0 0.430379746835443 0.40506329113924 0 0 0 0 0 0 0 0 17 0.665320915906596 0.0391365244651019 0.186441909438885 0.0194958064685904 1.0625 0.110726643598616 25
46 0 16 10 0.133333333333333 0.0222222222222222 0 0.488888888888889 0.355555555555556 0 0 0 0 0 0 0 0 8 0.324767814644357 0.0405959768305446 0.186179664451518 0.0197983071704036 1.375 0.15625 26
155 0 17.5 27 0.164473684210526 0.0460526315789474 0 0.375 0.414473684210526 0 0 0 0 0 0 0 0 16 0.66883798228792 0.041802373892998 0.19271891282042 0.020242868331948 0.904761904761905 0.10546875 27
26 0 17.5 113 0.0797665369649805 0.0291828793774319 0 0.405642023346304 0.485408560311284 0 0 0 0 0 0 0 0 75 3.1481587616348 0.041975450155126 0.24153747138338 0.018147149112952 0.835671342685371 0.0200888888888889 28
164 0 17.5 37 0.208333333333333 0.0643939393939394 0 0.352272727272727 0.375 0 0 0 0 0 0 0 0 16 0.67889724974974 0.04243107810936 0.1908085527581 0.02123429601669 0.939393939393939 0.14453125 29
112 0 17.5 75 0.0455635491606715 0.0143884892086331 0 0.574340527577938 0.365707434052758 0 0 0 0 0 0 0 0 37 1.7192257833452 0.046465561712028 0.19378105649162 0.023447515652722 1.57049180327869 0.0547845142439737 30
125 0 17.5 23 0.126760563380282 0.0140845070422535 0 0.471830985915493 0.387323943661972 0 0 0 0 0 0 0 0 14 0.65096439903258 0.046497457073754 0.18796951571768 0.0229187806331 1.21818181818182 0.11734693877551 31
12 0 17.1764705882353 57 0.105610561056106 0.0429042904290429 0 0.298679867986799 0.552805280528053 0 0 0 0 0 0 0 0 21 0.976974316693804 0.0465225865092294 0.186858576304549 0.0231332548766902 0.540298507462687 0.129251700680272 32
147 0 17.5 28 0.149038461538462 0.0336538461538462 0 0.471153846153846 0.346153846153846 0 0 0 0 0 0 0 0 14 0.65376142012136 0.046697244294382 0.18280775736468 0.024012158782688 1.36111111111111 0.142857142857143 33
111 0 17.5 95 0.0259927797833935 0.0425992779783394 0 0.651985559566787 0.27942238267148 0 0 0 0 0 0 0 0 31 1.5048428956686 0.048543319215142 0.30607571397628 0.020950562633596 2.33333333333333 0.0988553590010406 34
108 0 17.5 36 0.150877192982456 0.0771929824561404 0 0.456140350877193 0.315789473684211 0 0 0 0 0 0 0 0 13 0.64516073727136 0.049627749020878 0.1796568889112 0.025986087222628 1.44444444444444 0.21301775147929 35
23 0 17.5 289 0.0818158502180046 0.164657604513978 0 0.171582457040267 0.239292126186202 0.114901256732496 0.0872018466273403 0.0235957937932803 0.0228263657348038 0.00333418825339831 0.0774557578866376 0.00923313670171839 0.00410361631187484 30 1.5475015640278 0.051583385467584 0.31849848731526 0.02192615192895 0.717041800643087 0.321111111111111 36
32 0 17.5 218 0.147802197802198 0.0763736263736264 0 0.324725274725275 0.451098901098901 0 0 0 0 0 0 0 0 44 2.2841864000968 0.051913327274928 0.22980131937174 0.023825749575424 0.719853836784409 0.112603305785124 37
