w scaling repl L S1 S2 S3 S4 S5 D1 D2 D3 D4 D5 D6 D7 D8 S b bm bprod bpred compratio co prank
125 2 17.5 23 0.126760563380282 0.0140845070422535 0 0.471830985915493 0.387323943661972 0 0 0 0 0 0 0 0 14 0.59648585424712 0.042606132446222 0.13567183695948 0.027095181694018 1.21818181818182 0.11734693877551 29
164 2 17.5 37 0.208333333333333 0.0643939393939394 0 0.352272727272727 0.375 0 0 0 0 0 0 0 0 16 0.687392516936 0.0429620323085 0.14082888662896 0.02898105311987 0.939393939393939 0.14453125 30
108 2 17.5 36 0.150877192982456 0.0771929824561404 0 0.456140350877193 0.315789473684211 0 0 0 0 0 0 0 0 13 0.57691076975014 0.044377751519242 0.12013214660656 0.03060422513972 1.44444444444444 0.21301775147929 31
111 2 17.5 95 0.0259927797833935 0.0425992779783394 0 0.651985559566787 0.27942238267148 0 0 0 0 0 0 0 0 31 1.4087372000426 0.04544313548523 0.2097982679106 0.02783365701108 2.33333333333333 0.0988553590010406 32
102 2 17.5 34 0.164021164021164 0.0105820105820106 0 0.476190476190476 0.349206349206349 0 0 0 0 0 0 0 0 24 1.144308391262 0.04767951630257 0.1193185630949 0.033351706944094 1.36363636363636 0.0590277777777778 33
32 2 17.5 218 0.147802197802198 0.0763736263736264 0 0.324725274725275 0.451098901098901 0 0 0 0 0 0 0 0 44 2.1061738614778 0.047867587760882 0.1546305313515 0.031010280878142 0.719853836784409 0.112603305785124 34
171 2 17.5 18 0.125 0 0 0.575 0.3 0 0 0 0 0 0 0 0 18 0.89460825449606 0.04970045858311 0.12786798100148 0.034066954099442 1.91666666666667 0.0555555555555556 35
145 2 17.5 73 0.123809523809524 0.0408163265306122 0 0.352380952380952 0.482993197278912 0 0 0 0 0 0 0 0 29 1.4544410594252 0.050153139980204 0.1582551072258 0.032856825220898 0.729577464788732 0.0868014268727705 36
105 2 17.5 52 0.131634819532909 0.116772823779193 0 0.365180467091295 0.386411889596603 0 0 0 0 0 0 0 0 14 0.70703819437812 0.050502728169862 0.14960006958262 0.03398650460107 0.945054945054945 0.26530612244898 37
104 2 17.5 51 0.134782608695652 0.11304347826087 0 0.371739130434783 0.380434782608696 0 0 0 0 0 0 0 0 14 0.70719410507548 0.050513864648242 0.14961916872166 0.033996313969334 0.977142857142857 0.260204081632653 38
126 2 17.5 46 0.134285714285714 0.0314285714285714 0 0.325714285714286 0.508571428571429 0 0 0 0 0 0 0 0 25 1.2896940293432 0.051587761173732 0.13866528004426 0.035001567103154 0.640449438202247 0.0736 39
169 2 17.5 39 0.10126582278481 0 0 0.54746835443038 0.35126582278481 0 0 0 0 0 0 0 0 22 1.1453674406512 0.052062156393244 0.11769380635172 0.037477345291354 1.55855855855856 0.0805785123966942 40
9 2 17.5 79 0.0753186558516802 0.0139049826187717 0 0.476245654692932 0.434530706836616 0 0 0 0 0 0 0 0 37 1.9364608940362 0.052336780919906 0.17774044573448 0.03274245829263 1.096 0.0577063550036523 41
161 2 17.5 67 0.0597222222222222 0.0430555555555556 0 0.490277777777778 0.406944444444444 0 0 0 0 0 0 0 0 25 1.315918291144 0.052636731645736 0.139561827949 0.036079570445114 1.20477815699659 0.1072 42
144 2 17.5 32 0.180904522613065 0.0150753768844221 0 0.442211055276382 0.361809045226131 0 0 0 0 0 0 0 0 22 1.1951802389574 0.054326374498074 0.12312727856922 0.039037284704486 1.22222222222222 0.0661157024793388 43
101 2 17.5 35 0.14453125 0.02734375 0 0.50390625 0.32421875 0 0 0 0 0 0 0 0 22 1.2228826995062 0.05558557725031 0.2873511312088 0.032409021854456 1.55421686746988 0.0723140495867769 44
22 2 17.5 72 0.137380191693291 0.0335463258785942 0 0.519169329073482 0.297124600638978 0.00958466453674121 0.00159744408945687 0 0 0 0.00159744408945687 0 0 33 1.8416035901 0.055806169396968 0.1560275652307 0.037909491569508 1.74731182795699 0.0661157024793388 45
23 2 17.5 289 0.0818158502180046 0.164657604513978 0 0.171582457040267 0.239292126186202 0.114901256732496 0.0872018466273403 0.0235957937932803 0.0228263657348038 0.00333418825339831 0.0774557578866376 0.00923313670171839 0.00410361631187484 30 1.6786774453034 0.05595591484346 0.27344441463872 0.031790525977304 0.717041800643087 0.321111111111111 46
