w repl scaling L S1 S2 S3 S4 S5 D1 D2 D3 D4 D5 D6 D7 D8 S b bm bprod bpred tlav tlvar tlmax tlmed dsk odsk idsk pp tp w_s repl_s scaling_s L_s S1_s S2_s S3_s S4_s S5_s D1_s D2_s D3_s D4_s D5_s D6_s D7_s D8_s S_s b_s bm_s bprod_s bpred_s compratio co prank
48 0 0 124 0.0667067307692308 0.109975961538462 0 0.520432692307692 0.2578125 0.0276442307692308 0.0138221153846154 0 0 0 0.00360576923076923 0 0 25 45.942 0.264269888805544 0.881954971339601 0.203236924830023 2.2 0.24 2 3 0.612095928728 0.907006453696 1.46277128927 0.04 0.12 48 3 0 124 111 183 0 866 429 46 23 0 0 0 6 0 0 25 0.3507014225718 0.01402805690286 0.200297200722 0.00626684257706 0.479812476232546 0.1984 16
7 0 0 18 0.195402298850575 0.103448275862069 0 0.402298850574713 0.264367816091954 0.0229885057471264 0 0 0 0 0.0114942528735632 0 0 9 18.647875 0.316386839930096 1 0.0338194165247051 2.44444444444 0.469135802469 3 3 0.28125 -0.56920997883 0 0.111111111111 0.222222222222 7 4.25 0 18 17 9 0 35 23 2 0 0 0 0 1 0 0 9 0.37323081449635 0.0414700904996 0.2137080663751 0.019940343515165 0.401700157545344 0.222222222222222 17
108 0 0 197 0.125883540895321 0.153820262537866 0 0.399865365196903 0.276337933355772 0.0205318074722316 0.0208683944799731 0 0 0 0.00269269606193201 0 0 28 62.18105 0.346500019998015 1.31461499633484 -0.0946182766690903 2.35714285714 0.372448979592 2 3 -0.168071018287 0.417630403985 0.547912798852 0.0714285714286 0.178571428571 108 3 0 197 374 457 0 1188 821 61 62 0 0 0 8 0 0 28 1.157005917456 0.04132163990908 0.356744213058 0.01705836505152 0.388636779628808 0.251275510204082 18
103 0 0 91 0.128476821192053 0.262251655629139 0 0.226490066225166 0.266225165562914 0.0437086092715232 0.0622516556291391 0.00132450331125828 0 0 0.00662251655629139 0 0.00264900662251656 17 42.182 0.394678245973836 0.704708046987444 0.329723224057897 2.35294117647 0.463667820069 2 3 -0.4583785837 0.504121529426 0.689109776861 0.117647058824 0.0588235294118 103 3 0 91 97 198 0 171 201 33 47 1 0 0 5 0 2 17 1.796021204328 0.1056483061368 0.747656281433 0.02004724276422 0.267346882461409 0.314878892733564 19
109 0 0 197 0.125883540895321 0.153820262537866 0 0.399865365196903 0.276337933355772 0.0205318074722316 0.0208683944799731 0 0 0 0.00269269606193201 0 0 28 71.25191 0.405638479322325 1.48867055396182 -0.431125685719475 2.35714285714 0.372448979592 2 3 -0.168071018287 0.417630403985 0.547912798852 0.0714285714286 0.178571428571 109 3 0 197 374 457 0 1188 821 61 62 0 0 0 8 0 0 28 1.156750559308 0.04131251997522 0.356615160765 0.01705847068374 0.388636779628808 0.251275510204082 20
30 0 0 203 0.180713445707566 0.180713445707566 0 0.294394355154841 0.263034104272834 0.0333202665621325 0.0294002352018816 0.00588004704037632 0.00431203449627597 0.000392003136025088 0.00548804390435124 0.000392003136025088 0.00196001568012544 30 78.97958 0.420393565183218 1.01266853389633 0.319162444005418 2.36666666667 0.365555555556 2 3 0.114935398559 0.606640773816 0.339292400268 0.0666666666667 0.0333333333333 30 3 0 203 461 461 0 751 671 85 75 15 11 1 14 1 5 30 1.065936996398 0.03553123321328 0.337365745371 0.01397162520202 0.326177076224755 0.225555555555556 21
17 0 0 190 0.112234580384226 0.0603302999662959 0 0.52376137512639 0.285810583080553 0.00303336703741153 0.0138186720593192 0 0 0 0.00101112234580384 0 0 44 116.09878 0.421374979582091 1.08812427100402 0.286761870275286 2.52272727273 0.385847107438 3 3 1.91493417329 1.23122190273 1.97190569972 0.0681818181818 0.25 17 2.44444444444444 0 190 333 179 0 1554 848 9 41 0 0 0 3 0 0 44 1.80947386401 0.0411244060002556 0.413749960322556 0.0138591215376556 0.452177150810173 0.0981404958677686 22
112 0 0 119 0.134349030470914 0.140581717451524 0 0.415512465373961 0.299861495844875 0.00831024930747922 0.000692520775623269 0 0 0 0.000692520775623269 0 0 23 60.72378 0.421630962147903 0.530263748713028 0.409714029798853 2.30434782609 0.385633270321 2 3 -0.0784911594786 0.40912792303 0.770195844607 0.0869565217391 0.0434782608696 112 3 0 119 194 203 0 600 433 12 1 0 0 0 1 0 0 23 0.99467756413 0.04324685061432 0.2977025875012 0.01901297091082 0.377612425166255 0.224952741020794 23
8 0 0 52 0.155555555555556 0.171428571428571 0 0.238095238095238 0.155555555555556 0.111111111111111 0.0984126984126984 0.0158730158730159 0.00317460317460317 0 0.0476190476190476 0 0.00317460317460317 12 31.866 0.424146305755156 1.10805737378385 0.238297067875394 2.33333333333 0.388888888889 2 3 -0.173796585615 -0.23983856955 -0.118058933652 0.0833333333333 0.0833333333333 8 4.25 0 52 49 54 0 75 49 35 31 5 1 0 15 0 1 12 0.64663739250145 0.05388644937511 0.41261197162125 0.02127503826183 0.403225605133721 0.361111111111111 24
16 0 0 128 0.0722642807983482 0.113558155540262 0.00206469373709566 0.378527185134205 0.302821748107364 0.0488644184445974 0.0350997935306263 0.0144528561596696 0.00894700619408121 0.000688231245698555 0.0192704748795595 0 0.00344115622849277 25 68.7987 0.43964022334021 1.41730558324453 0.249796374721452 2.16 0.4544 2 3 0.269697937828 1.21856515965 0.849020473502 0.04 0.12 16 2.81818181818182 0 128 105 165 3 550 440 71 51 21 13 1 28 0 5 25 0.596557315854182 0.0238622926341727 0.371038040060455 0.00939663649141364 0.352182518111362 0.2048 25
